fechaHora,fechaHora,ultimoPrecio
2020-11-24 17:00:46.663,2020-11-24T17:00:46.663,90.5
2020-11-20 17:00:43.907,2020-11-20T17:00:43.907,90.0
2020-11-19 17:00:41.243,2020-11-19T17:00:41.243,96.0
2020-11-18 17:00:48.937,2020-11-18T17:00:48.937,96.0
2020-11-17 17:00:50.777,2020-11-17T17:00:50.777,94.0
2020-11-16 17:00:51.183,2020-11-16T17:00:51.183,94.0
2020-11-13 17:00:50.363,2020-11-13T17:00:50.363,97.0
2020-11-12 17:00:46.813,2020-11-12T17:00:46.813,97.0
2020-11-11 17:00:47.400,2020-11-11T17:00:47.4,99.0
2020-11-10 17:00:51.520,2020-11-10T17:00:51.52,100.0
2020-11-09 17:00:51.797,2020-11-09T17:00:51.797,100.0
2020-11-06 17:00:48.777,2020-11-06T17:00:48.777,100.0
2020-11-05 17:00:49.537,2020-11-05T17:00:49.537,100.0
2020-11-04 03:00:04.210,2020-11-04T03:00:04.21,100.0
2020-11-03 03:00:04.127,2020-11-03T03:00:04.127,100.0
2020-11-02 17:00:51.980,2020-11-02T17:00:51.98,100.0
2020-10-30 17:00:52.053,2020-10-30T17:00:52.053,105.0
2020-10-29 17:00:40.880,2020-10-29T17:00:40.88,102.0
2020-10-28 15:30:20.950,2020-10-28T15:30:20.95,100.0
2020-10-27 17:00:46.113,2020-10-27T17:00:46.113,106.0
2020-10-26 17:00:45.557,2020-10-26T17:00:45.557,107.0
2020-10-23 17:00:43.697,2020-10-23T17:00:43.697,106.0
2020-10-22 17:00:48.120,2020-10-22T17:00:48.12,108.0
2020-10-21 17:00:49.397,2020-10-21T17:00:49.397,108.0
2020-10-20 17:00:48.123,2020-10-20T17:00:48.123,108.5
2020-10-19 17:00:48.277,2020-10-19T17:00:48.277,109.0
2020-10-16 17:00:46.453,2020-10-16T17:00:46.453,110.0
2020-10-15 15:30:15.090,2020-10-15T15:30:15.09,108.5
2020-10-14 17:00:43.590,2020-10-14T17:00:43.59,108.0
2020-10-13 17:00:48.563,2020-10-13T17:00:48.563,100.0
2020-10-09 17:00:41.543,2020-10-09T17:00:41.543,100.0
2020-10-08 17:00:47.687,2020-10-08T17:00:47.687,100.25
2020-10-07 17:00:47.240,2020-10-07T17:00:47.24,95.0
2020-10-06 17:00:47.783,2020-10-06T17:00:47.783,100.0
2020-10-05 03:00:00.343,2020-10-05T03:00:00.343,100.0
2020-10-02 17:00:43.363,2020-10-02T17:00:43.363,100.0
2020-10-01 03:00:01.827,2020-10-01T03:00:01.827,91.0
2020-09-30 17:00:44.533,2020-09-30T17:00:44.533,91.0
2020-09-29 17:00:42.837,2020-09-29T17:00:42.837,91.0
2020-09-28 17:00:42.747,2020-09-28T17:00:42.747,91.0
2020-09-25 17:00:49.150,2020-09-25T17:00:49.15,91.0
2020-09-24 17:00:49.817,2020-09-24T17:00:49.817,90.0
2020-09-23 17:00:49.097,2020-09-23T17:00:49.097,88.0
2020-09-22 17:00:45.310,2020-09-22T17:00:45.31,90.0
2020-09-21 17:00:48.987,2020-09-21T17:00:48.987,90.0
2020-09-18 03:00:01.273,2020-09-18T03:00:01.273,100.0
2020-09-17 03:00:04.133,2020-09-17T03:00:04.133,100.0
2020-09-16 03:00:06.387,2020-09-16T03:00:06.387,100.0
2020-09-15 17:00:42.017,2020-09-15T17:00:42.017,100.0
2020-09-14 17:00:47.483,2020-09-14T17:00:47.483,100.0
2020-09-11 17:00:43.570,2020-09-11T17:00:43.57,105.0
2020-09-10 17:00:37.743,2020-09-10T17:00:37.743,111.5
2020-09-09 17:05:39.517,2020-09-09T17:05:39.517,101.0
2020-09-08 17:00:45.327,2020-09-08T17:00:45.327,109.5
2020-09-07 17:00:41.417,2020-09-07T17:00:41.417,112.5
2020-09-04 17:00:41.483,2020-09-04T17:00:41.483,112.5
2020-09-03 17:00:42.940,2020-09-03T17:00:42.94,120.0
2020-09-02 17:00:40.517,2020-09-02T17:00:40.517,115.0
2020-09-01 17:00:42.670,2020-09-01T17:00:42.67,115.0
2020-08-31 17:00:36.650,2020-08-31T17:00:36.65,105.0
2020-08-28 17:00:46.470,2020-08-28T17:00:46.47,95.0
2020-08-27 17:00:36.850,2020-08-27T17:00:36.85,92.0
2020-08-26 17:00:37.433,2020-08-26T17:00:37.433,101.0
2020-08-25 17:00:37.977,2020-08-25T17:00:37.977,105.0
2020-08-24 17:00:37.033,2020-08-24T17:00:37.033,106.5
2020-08-21 17:00:49.483,2020-08-21T17:00:49.483,107.0
2020-08-20 17:00:34.973,2020-08-20T17:00:34.973,106.0
2020-08-19 17:00:39.583,2020-08-19T17:00:39.583,115.0
2020-08-18 17:00:36.197,2020-08-18T17:00:36.197,123.0
2020-08-14 17:00:49.597,2020-08-14T17:00:49.597,124.0
2020-08-13 17:00:48.423,2020-08-13T17:00:48.423,124.0
2020-08-12 17:00:47.320,2020-08-12T17:00:47.32,115.0
2020-08-11 17:00:49.700,2020-08-11T17:00:49.7,105.0
2020-08-10 17:00:51.963,2020-08-10T17:00:51.963,100.0
2020-08-07 17:00:38.633,2020-08-07T17:00:38.633,94.5
2020-08-06 17:00:37.747,2020-08-06T17:00:37.747,93.0
2020-08-05 17:00:49.150,2020-08-05T17:00:49.15,90.0
2020-08-04 17:00:42.060,2020-08-04T17:00:42.06,94.0
2020-08-03 15:30:28.133,2020-08-03T15:30:28.133,88.0
2020-07-31 17:00:44.507,2020-07-31T17:00:44.507,90.0
2020-07-30 17:00:45.383,2020-07-30T17:00:45.383,92.0
2020-07-29 17:00:49.123,2020-07-29T17:00:49.123,95.0
